Title,Genre,Premiere,Runtime,IMDB Score,Language
Mercy,Thriller,"November 22, 2016",90,4.2,English
Milestone,Drama,"May 7, 2021",98,6.6,Hindi
Miss Americana,Documentary,"January 31, 2020",85,7.4,English
Monster,Drama,"May 7, 2021",98,6.5,English
Mowgli: Legend of the Jungle,Adventure,"December 7, 2018",104,6.5,English
Moxie,Drama,"March 3, 2021",111,6.7,English
Mrs. Serial Killer,Thriller,"May 1, 2020",106,4.8,Hindi
Mucho Mucho Amor: The Legend of Walter Mercado ,Documentary,"July 8, 2020",96,7.3,Spanish/English
Murder Mystery,Comedy mystery,"June 14, 2019",97,6,English
Murder to Mercy: The Cyntoia Brown Story,Documentary,"April 29, 2020",97,6.4,English
Music Teacher,Drama,"April 19, 2019",101,6.3,Hindi
Mute,Science fiction/Mystery,"February 23, 2018",126,5.5,English
My Beautiful Broken Brain,Documentary,"March 18, 2016",91,7.1,English
My Octopus Teacher,Documentary,"September 7, 2020",85,8.1,English
My Own Man,Documentary,"December 13, 2014",81,6.4,English
Nail Bomber: Manhunt,Documentary,"May 26, 2021",72,6.3,English
Naked,Comedy,"August 11, 2017",96,5.4,English
Nappily Ever After,Comedy-drama,"September 21, 2018",98,6.4,English
Night in Paradise,Drama,"April 9, 2021",132,6.7,Korean
Nobody Knows I'm Here,Drama,"June 24, 2020",91,6.5,Spanish
Nobody Sleeps in the Woods Tonight,Horror,"October 28, 2020",103,4.8,Polish
Nobody Speak: Trials of the Free Press,Documentary,"June 23, 2017",95,6.5,English
Notes for My Son,Drama,"November 24, 2020",83,6.3,Spanish
Notes from Dunblane: Lesson from a School Shooting,Documentary,"September 28, 2018",23,5.9,English
Octonauts & the Caves of Sac Actun,Animation,"August 14, 2020",72,6.2,English
Octonauts & the Great Barrier Reef,Animation,"October 13, 2020",47,7.3,English
Offering to the Storm,Thriller,"July 24, 2020",139,6.2,Spanish
Okja,Action-adventure,"June 28, 2017",121,7.3,English/Korean
On My Skin,Crime drama,"September 12, 2018",100,7.3,Italian
One of Us,Documentary,"October 20, 2017",95,7.1,English
One Take,Documentary,"June 18, 2020",85,5.7,Thai
One-Way to Tomorrow,Romance,"June 19, 2020",90,5.6,Turkish
Operation Christmas Drop,Romantic comedy,"November 5, 2020",96,5.8,English
Operation Varsity Blues: The College Admissions Scandal,Documentary,"March 17, 2021",99,7,English
Otherhood,Comedy,"August 2, 2019",100,6.1,English
Our Souls at Night,Romance,"September 29, 2017",103,6.9,English
Outlaw King,Historical-epic,"November 9, 2018",121,6.9,English
Outside the Wire,Action/Science fiction,"January 15, 2021",114,5.4,English
Over the Moon,Animation/Musical/Adventure,"October 23, 2020",95,6.4,English
Oxygen,Science fiction thriller,"May 12, 2021",101,6.5,French
Paddleton,Drama-Comedy,"February 22, 2019",89,7.2,English
Pagglait,Comedy-drama,"March 26, 2021",114,6.9,Hindi
Paper Lives,Drama,"March 12, 2021",97,6.7,Turkish
Paradox,Musical/Western/Fantasy,"March 23, 2018",73,3.9,English
Parchis: The Documentary,Documentary,"July 10, 2019",106,6.7,Spanish
Paris Is Us,Romance drama,"February 22, 2019",83,4.6,French
Pee-wee's Big Holiday,Adventure,"March 18, 2016",89,6.1,English
Pele,Documentary,"February 23, 2021",108,7,English
Period. End of Sentence.,Documentary,"February 12, 2019",26,7.4,English/Hindi
Pieces of a Woman,Drama,"January 7, 2021",126,7.1,English
Point Blank,Action,"July 12, 2019",86,5.7,English
Polar,Action,"January 25, 2019",118,6.3,English
Porta dos Fundos: The First Temptation of Christ,Comedy,"December 3, 2019",46,4.6,Portuguese
Porta dos Fundos: The Last Hangover,Comedy,"December 21, 2018",44,6.3,Portuguese
Prime Time,Thriller,"April 14, 2021",91,5.7,Polish
Private Life,Drama,"October 5, 2018",124,7.2,English
Project Power,Superhero,"August 14, 2020",113,6,English
Quincy,Documentary,"September 21, 2018",124,7.6,English
Raat Akeli Hai,Thriller,"July 31, 2020",149,7.3,Hindi
Rajma Chawal,Comedy-drama,"November 30, 2018",118,5.8,Hindi
Rattlesnake,Horror,"October 25, 2019",85,4.6,English
Rebecca,Romantic thriller,"October 21, 2020",123,6,English
Rebirth,Thriller,"July 15, 2016",100,5,English
Recovery Boys,Documentary,"June 29, 2018",89,6.6,English
Red Dot,Thriller,"February 11, 2021",86,5.5,Swedish
ReMastered: Devil at the Crossroads,Documentary,"April 26, 2019",48,7,English
ReMastered: Massacre at the Stadium,Documentary,"January 11, 2019",64,7.3,English/Spanish
ReMastered: The Lion's Share,Documentary,"May 17, 2019",84,7,English
ReMastered: The Miami Showband Massacre,Documentary,"March 22, 2019",70,7,English
ReMastered: The Two Killings of Sam Cooke,Documentary,"February 8, 2019",64,7.3,English
ReMastered: Tricky Dick & the Man in Black,Documentary,"November 2, 2018",58,7.1,English
ReMastered: Who Killed Jam Master Jay?,Documentary,"December 7, 2018",58,6.6,English
ReMastered: Who Shot the Sheriff?,Documentary,"October 12, 2018",57,6.9,English
Resurface,Documentary,"September 1, 2017",27,7,English
Reversing Roe,Documentary,"September 13, 2018",99,7.5,English
Rich in Love,Romantic comedy,"April 30, 2020",105,5.8,Portuguese
Ride or Die,Psychological thriller drama,"April 15, 2021",142,5.5,Japanese
Rim of the World,Science fiction adventure,"May 24, 2019",98,5.2,English
Rising High,Satire,"April 17, 2020",94,5.8,German
Rising Phoenix,Documentary,"August 26, 2020",106,8.1,English
Road to Roma,MakingOf,"February 11, 2020",72,7.7,Spanish
Rocko's Modern Life: Static Cling,Animation / Comedy,"August 9, 2019",45,7,English
Rodney King,OneManShow,"April 28, 2017",52,5.8,English
Rogue City,Crime drama,"October 30, 2020",116,6.1,French
Rolling Thunder Revue: A bob Dylan Story by Martin Scorsere,Documentary,"June 12, 2019",144,7.6,English
Roma,Drama,"December 14, 2018",135,7.7,Spanish
Rooting for Roona,Documentary,"October 15, 2020",41,7.1,Bengali
Rose Island,Comedy,"December 9, 2020",117,7,Italian
Roxanne Roxanne,Biopic,"March 23, 2018",98,6.2,English
Sand Castle,War,"April 21, 2017",113,6.3,English
Sandy Wexler,Comedy,"April 14, 2017",131,5.2,English
Sarah Cooper: Everything's Fine,Variety show,"October 27, 2020",49,5.6,English
Sardar Ka Grandson,Comedy,"May 18, 2021",139,4.1,Hindi
Saving Capitalism,Documentary,"November 21, 2017",73,6.8,English
Searching for Sheela,Documentary,"April 22, 2021",58,4.1,English
Seaspiracy,Documentary,"March 24, 2021",89,8.2,English
Secret Obsession,Thriller,"July 18, 2019",97,4.4,English
Secrets of the Saqqara Tomb,Documentary,"October 28, 2020",114,7.3,English/Arabic
See You Yesterday,Science fiction,"May 17, 2019",87,5.2,English
Seeing Allred,Documentary,"February 9, 2018",95,6.9,English
Sentinelle,Action,"March 5, 2021",80,4.7,French
Sergio,Biopic,"April 17, 2020",118,6.1,English
Serious Men,Drama,"October 2, 2020",114,6.8,Hindi
Seriously Single,Comedy,"July 31, 2020",107,4.5,English
Set It Up,Romantic comedy,"June 15, 2018",105,6.5,English
Seventeen,comedy-drama,"October 18, 2019",99,7.2,Spanish
Sextuplets,Comedy,"August 16, 2019",99,4.4,English
Shawn Mendes: In Wonder,Documentary,"November 23, 2020",83,6.6,English
Shawn Mendes: Live in Concert,Concert Film,"November 25, 2020",87,7.4,English
Shimmer Lake,Crime thriller,"June 9, 2017",86,6.3,English
Shirkers,Documentary,"October 26, 2018",97,7.4,English
Sierra Burgess Is a Loser,Romantic comedy-drama,"September 7, 2018",105,5.8,English
Sitara: Let Girls Dream,Animation / Short,"March 8, 2020",15,7.3,English
Sky Ladder: The Art of Cai Guo-Qiang,Documentary,"October 14, 2016",79,7.3,English/Mandarin
Small Crimes,Dark comedy,"April 28, 2017",95,5.8,English
Sol Levante,Anime / Short,"April 2, 2020",4,4.7,English
Someone Great,Romantic comedy,"April 19, 2019",92,6.2,English
Sometimes,Drama,"May 1, 2018",101,7.2,Tamil
Soni,Crime drama,"January 18, 2019",97,7.2,Hindi
Space Sweepers,Science fiction,"February 5, 2021",136,6.6,Korean
Special Correspondents,Satire,"April 29, 2016",100,5.8,English
Spectral,Science fiction/Action,"December 9, 2016",108,6.3,English
Spelling the Dream,Documentary,"June 3, 2020",83,6.9,English
Spenser Confidential,Action comedy,"March 6, 2020",111,6.2,English
Springsteen on Broadway,OneManShow,"December 16, 2018",153,8.5,English
Squared Love,Romantic comedy,"February 11, 2021",102,5,Polish
Step Sisters,Comedy,"January 19, 2018",108,5.5,English
Still Laugh-In: The Stars Celebrate,Variety show,"May 14, 2019",60,5.2,English
Street Flow,Drama,"October 12, 2019",96,6.4,French
Strong Island,Documentary,September 15. 2017,107,6.4,English
Struggle: The Life and Lost Art of Szukaiski,Documentary,"December 21, 2018",105,8,English
Stuck Apart,Drama,"January 8, 2021",96,6.1,Turkish
Sturgill Simpson Presents: Sound & Fury,Animation / Musicial,"September 27, 2019",41,6.4,English
Take the 10,Comedy,"January 20, 2017",80,4.8,English
Take Your Pills,Documentary,"March 16, 2018",87,6.4,English
Tall Girl,Comedy-drama,"September 13, 2019",102,5.2,English
Tallulah,Comedy-drama,"July 29, 2016",111,6.7,English
TAU,Science fiction/Thriller,"June 29, 2018",97,5.8,English
Taylor Swift: Reputation Stadium Tour,Concert Film,"December 31, 2018",125,8.4,English
Team Foxcatcher,Documentary,"April 29, 2016",90,7.3,English/Russian
Tell Me Who I Am,Documentary,"October 18, 2019",85,7.6,English
Tersanjung the Movie,Drama,"April 1, 2021",114,6.1,Indonesian
The 40-Year-Old Version,Comedy,"October 9, 2020",124,7.2,English
The After Party,Comedy,"August 24, 2018",89,5.8,English
The American Meme,Documentary,"December 7, 2018",98,6.6,English
The Angel,Spy thriller,"September 14, 2018",114,6.6,English
The App,Science fiction/Drama,"December 26, 2019",79,2.6,Italian
The Babysitter,Teen comedy horror,"October 13, 2017",85,6.3,English
The Babysitter: Killer Queen,Comedy/Horror,"September 10, 2020",102,5.8,English
The Ballad of Buster Scruggs,Western,"November 16, 2018",132,7.3,English
The Beast,Drama,"November 27, 2020",99,5.2,Italian
The Binding,Drama,"October 2, 2020",93,4.7,Italian
The Black Godfather,Documentary,"June 7, 2019",118,7.4,English
The Bleeding Edge,Documentary,"July 27, 2018",100,7.6,English
The Boys in the Band,Drama,"September 30, 2020",121,6.8,English
The Boys in the Band: Something Personal,Aftershow / Interview,"September 30, 2020",28,6.8,English
The Call,Drama,"November 27, 2020",112,4.1,Korean
The Christmas Chronicles,Christmas/Fantasy/Adventure/Comedy,"November 22, 2018",104,7,English
The Christmas Chronicles: Part Two,Christmas comedy,"November 25, 2020",115,6,English
The Claudia Kishi Club,Documentary,"July 10, 2020",17,6.9,English
The Claus Family,Fantasy,"December 7, 2020",96,5.8,Dutch
The Cloverfield Paradox,Science fiction,"February 4, 2018",102,5.5,English
The Crimes That Bind,Crime drama,"August 20, 2020",99,6.6,Spanish
The Day of the Lord,Drama,"October 30, 2020",93,4.9,Spanish
The Death and Life of Marsha P. Johnson,Documentary,"October 6, 2017",105,7.3,English
The Decline,Thriller,"March 27, 2020",83,5.9,French
The Devil All the Time,Psychological thriller,"September 16, 2020",138,7.1,English
The Dig,Drama,"January 29, 2021",112,7.1,English
The Dirt,Biopic,"March 22, 2019",108,7,English
The Disciple,Drama,"April 30, 2021",129,7.2,Marathi
The Discovery,Science fiction/Drama,"March 31, 2017",102,6.3,English
The Do-Over,Action comedy,"May 27, 2016",108,5.7,English
The Edge of Democracy,Documentary,"June 19, 2019",121,7.2,Portuguese
The Forest of Love,Drama,"October 11, 2019",151,6.3,Japanese
The Fundamentals of Caring,Comedy-drama,"June 24, 2016",97,7.3,English
The Girl on the Train,Thriller,"February 26, 2021",120,4.4,Hindi
The Great Hack,Documentary,"July 24, 2019",114,7.1,English
The Half of It,Romance,"May 1, 2020",105,6.9,English
The Heartbreak Club,Comedy-drama,"January 14, 2021",101,6.4,Indonesian
The Highwaymen,Crime drama,"March 29, 2019",131,6.9,English
The Holiday Calendar,Romantic comedy,"November 2, 2018",95,5.7,English
The Incredible Jessica James,Comedy,"July 28, 2017",83,6.5,English
The Irishman,Crime drama,"November 27, 2019",209,7.8,English
The Irishman: In Conversation,Aftershow / Interview,"November 27, 2019",23,7.4,English
The Ivory Game,Documentary,"November 4, 2016",112,7.9,English
The Killer,Western,"November 10, 2017",99,6.1,Portuguese
The King,Historical drama,"November 1, 2019",140,7.2,English
The Kissing Booth 2,Romantic comedy,"July 24, 2020",131,5.8,English
The Kissing Booth,Romantic comedy,"May 11, 2018",105,6,English
The Knight Before Christmas,Romantic comedy,"November 21, 2019",92,5.5,English
The Land of Steady Habits,Drama,"September 14, 2018",98,6.2,English
The Larva Island Movie,Animation,"July 23, 2020",90,5.1,English
The Last Days of American Crime,Heist film/Thriller,"June 5, 2020",149,3.7,English
The Last Laugh,Comedy-drama,"January 11, 2019",98,5.6,English
The Last Paradiso,Romantic drama,"February 5, 2021",107,5.6,Italian
The Last Thing He Wanted,Political thriller,"February 21, 2020",115,4.3,English
The Laundromat,Comedy-drama,"October 18, 2019",98,6.3,English
The Legacy of a Whitetail Deer Hunter,Adventure/Comedy,"July 6, 2018",83,5.5,English
The Legend of Cocaine Island,Documentary,"March 29, 2019",87,6.3,English
The Life Ahead,Drama,"November 13, 2020",95,6.8,Italian
The Lonely Island Presents: The Unauthorized Bash Brothers Experience,Comedy / Musical,"May 23, 2019",30,6.9,English
The Lovebirds,Romantic comedy,"May 22, 2020",87,6.1,English
The Main Event,Comedy,"April 10, 2020",101,4.8,English
The Mars Generation,Documentary,"May 5, 2017",97,6.4,English
The Meyerowitz Stories (New and Selected),Comedy-drama,"October 13, 2017",112,6.9,English
The Midnight Sky,Science fiction,"December 23, 2020",118,5.6,English
The Minimalists: Less Is Now,Documentary,"January 1, 2021",53,5.9,English
The Misadventures of Hedi and Cokeman,Comedy,"February 10, 2021",99,4.5,French
The Most Assassinated Woman in the World,Thriller,"September 7, 2018",102,5.3,French
The Most Hated Woman in America,Biopic,"March 24, 2017",92,6.1,English
The Night Comes for Us,Action-thriller,"October 19, 2018",121,7,Indonesian
The Occupant,Thriller,"March 25, 2020",103,6.4,Spanish
The Old Guard,Superhero/Action,"July 10, 2020",124,6.7,English
The Open House,Horror thriller,"January 19, 2018",94,3.2,English
The Other One: The Long Strange Trip of Bob Weir,Documentary,"May 22, 2015",83,7.3,English
The Other Side of the Wind,Drama,"November 2, 2018",122,6.8,English
The Outsider,Crime drama,"March 9, 2018",120,6.3,English/Japanese
The Package,Black comedy,"August 10, 2018",94,5.5,English
The Paramedic,Thriller,"September 16, 2020",94,5.6,Spanish
The Perfect Date,Romantic comedy,"April 12, 2019",89,5.8,English
The Perfection,Horror-thriller,"May 24, 2019",90,6.1,English
The Players,Comedy,"July 15, 2020",88,4.6,Italian
The Polka King,Comedy-drama,"January 12, 2018",95,5.9,English
The Princess Switch,Romantic comedy,"November 16, 2018",101,6,English
The Princess Switch: Switched Again,Romantic comedy,"November 19, 2020",97,5.4,English
The Prom,Musical,"December 11, 2020",132,5.9,English
The Rachel Divide,Documentary,"April 27, 2018",104,6.2,English
The Red Sea Diving Resort,Spy thriller,"July 31, 2019",130,6.6,English
The Ridiculous 6,Western,"December 11, 2015",119,4.8,English
The Road to El Camino: A Breaking Bad Movie,Making-of,"October 29, 2019",13,7.2,English
The Siege of Jadotville,War,"October 7, 2016",108,7.2,English
The Sleepover,Comedy,"August 21, 2020",103,5.6,English
The Social Dilemma,Documentary,"September 9, 2020",94,7.6,English
The Speed Cubers,Documentary,"July 29, 2020",40,7.4,English
The Three Deaths of Marisela Escobedo,Documentary,"October 14, 2020",109,8.2,Spanish
The Trader,Documentary,"February 9, 2018",23,6.8,Georgian
The Trial of the Chicago 7,Drama,"October 16, 2020",130,7.8,English
The Two Popes,Drama,"December 20, 2019",125,7.6,English
The Week Of,Comedy,"April 27, 2018",116,5.2,English
The White Helmets,Documentary,September 16. 2016,40,7.5,English
The White Tiger,Drama,"January 22, 2021",125,7.1,English
The Willoughbys,Animation/Comedy/Adventure,"April 22, 2020",90,6.4,English
The Woman in the Window,Psychological thriller,"May 14, 2021",100,5.7,English
The Wrong Missy,Comedy,"May 13, 2020",90,5.7,English
They'll Love Me When I'm Dead,Documentary,"November 2, 2018",98,7.4,English
Things Heard & Seen,Horror,"April 29, 2021",121,5.3,English
Thunder Force,Superhero-Comedy,"April 9, 2021",105,4.4,English
Tig,Documentary,"July 17, 2015",80,7.4,English
Tigertail,Drama,"April 10, 2020",91,6.5,English/Taiwanese/Mandarin
Time to Hunt,Thriller,"April 23, 2020",134,6.3,Korean
To All the Boys I've Loved Before,Romantic comedy,"August 17, 2018",99,7.1,English
To All the Boys: Always and Forever,Romantic comedy,"February 12, 2021",109,6.3,English
To All the Boys: P.S. I Still Love You,Romantic comedy,"February 12, 2020",102,6,English
To the Bone,Drama,"July 14, 2017",107,6.8,English
Tony Parker: The Final Shot,Documentary,"January 6, 2021",98,6.8,French
Tony Robbins: I Am Not Your Guru,Documentary,July 15. 2016,116,6.7,English
Tramps,Romance,"April 21, 2017",83,6.5,English
Travis Scott: Look Mom I Can Fly,Documentary,"August 28, 2019",85,6.3,English
Triple Frontier,Action-thriller,"March 13, 2019",125,6.4,English
True Memoirs of an International Assassin,Action comedy,"November 11, 2016",98,5.9,English
Two Catalonias,Documentary,"September 28, 2018",116,6.4,Spanish/Catalan
Ultras,Sports film,"March 20, 2020",108,5.9,Italian
Uncorked,Drama,"March 27, 2020",103,6.3,English
Under the Riccione Sun,Romantic teenage drama,"July 1, 2020",101,5.4,Italian
Unicorn Store,Comedy,"April 5, 2019",92,5.5,English
Unknown Origins,Thriller,"August 28, 2020",96,6.1,Spanish
Upstarts,Drama,"October 18, 2019",112,6.7,Hindi
Vampires vs. the Bronx,Horror comedy,"October 2, 2020",86,5.6,English
Velvet Buzzsaw,Thriller,"February 1, 2019",112,5.7,English
Voyuer ,Documentary,"December 1, 2017",95,6.2,English
Walk. Ride. Rodeo.,Drama,"March 8, 2019",99,6.4,English
War Machine,War-Comedy,"May 26, 2017",122,6,English
We Are One,Documentary,"July 14, 2020",86,4.6,French
We Can Be Heroes,Superhero,"December 25, 2020",100,4.7,English
What Did Jack Do?,Drama / Short,"January 20, 2020",17,6.5,English
What Happened to Mr. Cha?,Comedy,"January 1, 2021",102,4.3,Korean
What We Wanted,Drama,"November 11, 2020",93,5.8,German
What Would Sophia Loren Do?,Documentary,"January 15, 2021",32,6.6,English
Wheelman,Action thriller,"October 20, 2017",82,6.4,English
When We First Met,Romantic comedy,"February 9, 2018",97,6.4,English
Whipped,Romantic comedy,"September 18, 2020",97,4.1,Indonesian
Who Would You Take to a Deserted Island?,Drama,"April 12, 2019",93,5.3,Spanish
Why Did You Kill Me?,Documentary,"April 14, 2021",83,5.6,English
Win It All,Comedy,"April 7, 2017",88,6.2,English
Wine Country,Comedy,"May 10, 2019",103,5.5,English
Winter on Fire: Ukraine's Fight for Freedom,Documentary,"October 9, 2015",91,8.4,English/Ukranian/Russian
Work It,Dance comedy,"August 7, 2020",93,6.1,English
XOXO,Drama,"August 26, 2016",92,5.3,English
Yeh Ballet,Drama,"February 21, 2020",117,7.6,Hindi
Yes Day,Comedy,"March 12, 2021",86,5.7,English
You've Got This,Romantic comedy,"October 2, 2020",111,5.8,Spanish
Zion ,Documentary,"August 10, 2018",11,7.2,English
